scientific_name,common_names,family,duration,habit,size_category,bloom_color,fragrant,bloom_months,az_native,native_habitat,ecological_plant_groups,water_use,light_requirement,calcium_carbonate_tolerance,drought_tolerance,soil_type,watering,heat_tolerance,yard_uses,wildlife_attraction,toxic_humans,toxic_pets,toxic_part,nursery,prices,Price_category,Sizes Available,shoping_notes,images,page_link-href
Allium cernuum,Nodding Onion,Liliaceae (Lily Family),Perennial,Herb,Small,"White , Pink",Yes,"Jun , Jul , Aug",Y,Dry to moist prairies; stream banks; moist areas at high altitudes,Desert Plants,Low,Sun,High,Medium,"humus-rich, neutral, alkaline, well-drained",RAINFALL ONLY,Heat Sensitive,"Pollinator Garden, Wildflower Border","Butterflies, Hummingbirds, Native Bees, Pollinators",Mildly toxic (large qty),Toxic (all Allium spp.),Whole plant (especially bulb),"Native Roots, online specialty",SEED-$4 SMALL-$10,Budget ($3-15),"4'' pot, seed",Locally rare; more available as seed,../image_archive/320x240/EWA/EWA_IMG03200.JPG,https://www.wildflower.org/plants/result.php?id_plant=ALCE2
Allium macropetalum,"Largeflower Onion, Large-petal Onion, Desert Onion, Desert Onion Lily",Liliaceae (Lily Family),Perennial,Herb,Small,Pink,Yes,"Mar , Apr",Y,Open deserts,Desert Plants,Low,Sun,High,High,"rocky, sandy, well-drained",RAINFALL ONLY,Heat Lovers,"Pollinator Garden, Rock Garden","Native Bees, Butterflies, Pollinators",As above,As above,As above,"Native Roots, wildflower events",SMALL-$4-8,Budget ($3-15),"2'', 4''",Specialty natives source,../image_archive/320x240/EWA/EWA_IMG00184.JPG,https://www.wildflower.org/plants/result.php?id_plant=ALMA4
Anemone tuberosa,"Tuber Anemone, Desert Anemone",Ranunculaceae (Buttercup Family),Perennial,Herb,Small,"White , Pink",No,"Apr , May",Y,Among rocks on desert slopes,Desert Plants,Low,Part Shade,Medium,High,"rocky, gravelly, well-drained, calcareous",RAINFALL ONLY,Heat Sensitive,"Rock Garden, Pollinator/Wildflower Border","Native Bees, Early Pollinators, Syrphid Flies",Toxic,Toxic,All parts (protoanemonin),Not found Tucson; rare online,SEED-$5-6,Budget ($3-15),"Seed, tuber","Specialty, seldom at nursery",../image_archive/320x240/EWA/EWA_IMG07512.JPG,https://www.wildflower.org/plants/result.php?id_plant=ANTU
Anisacanthus thurberi,"Thurber's Desert Honeysuckle, Chuparosa, Desert Honeysuckle",Acanthaceae (Acanthus Family),Perennial,Shrub,Medium,"Red , Orange",No,"Mar , Apr , May",Y,Rocky banks; floodplains; 2500 to 5500 ft.,Riparian & Moist Site Species,Low,Sun,High,High,"rocky, well-drained", WEEKLY WATERING,Heat Lovers,"Pollinator Garden, Hummingbird Garden, Shrub Border","Hummingbirds, Butterflies (nectar)",Not toxic,Not toxic,None,"Civano, Desert Survivors",SMALL-$8-16,Budget ($3-15),"1g, 2g, 5g",Regularly available,../image_archive/320x240/EWA/EWA_IMG01440.JPG,https://www.wildflower.org/plants/result.php?id_plant=ANTH2
Aquilegia chrysantha,"Golden Columbine, Yellow Columbine, Southwestern Yellow Columbine",Ranunculaceae (Buttercup Family),Perennial,Herb,Medium,Yellow,No,"Apr , May , Jun , Jul , Aug , Sep",Y,Moist places in sheltered canyons in the Chihuahuan and Sonoran Deserts,Mountain & High Elevation Species,Medium,"Shade, Part Shade",Medium,Low,"moist, well-drained, sandy, rocky, loamy, limestone, igneous",DEEP WATERING EVERY 2-3 WEEKS,Heat Sensitive,"Pollinator/Shade Garden, Moist Corner","Butterflies, Bumblebees, Hummingbirds",Toxic,Toxic,"All parts (cyanogenic, especially seeds/roots)","Civano, Native Roots",SEED-$4 SMALL-$12,Budget ($3-15),"4'', 1g, seed",Spring/fall best time to find,../image_archive/320x240/EPS/EPS_IMG0039.JPG,https://www.wildflower.org/plants/result.php?id_plant=AQCH
Arbutus arizonica,Arizona Madrone,Ericaceae (Heath Family),Perennial,Tree,Extra Large,"White , Pink",Yes (Slight),"May , Jun , Jul , Aug",Y,"High altitude, oak woodlands",Mountain & High Elevation Species,Low,Sun,Medium,High,"rocky, well-drained",DEEP WATERING EVERY 2-3 WEEKS,Heat Tolerant,"Large Shade Tree, Native Habitat Planting","Birds, Pollinators, Deer",Not toxic,Not toxic,None,"Desert Survivors (rare, grown to order)",MEDIUM-$18-50,Moderate ($16-40),"1g, 5g, 15g","Larger sizes rare, pre-order",../image_archive/320x240/RWS/RWS_IMG3468.JPG,https://www.wildflower.org/plants/result.php?id_plant=ARAR2
Aristida purpurea,"Purple Threeawn, Purple 3-awn, Purple Three-awn, Red Threeawn",Poaceae (Grass Family),Perennial,Grass/Grass-like,Small,Purple,No,"Apr , May , Jun , Jul , Aug , Sep , Oct",Y,"Sun, open ground, well-drained sand, clay, loam, limestone; Overgrazed ranges, disturbed roadsides, abandoned fields",Arid Grasslands & Plains,Low,Sun,High,High,"dry, rocky, sandy, alkaline, calcareous",RAINFALL ONLY,Heat Lovers,"Ground Cover, Erosion Control, Meadow, Lawn Alternative","Songbirds, Skipper/Satyr Larvae, Native Bees, Provides Nesting Habitat",Not toxic,Not toxic,None,"Civano, Desert Survivors, Native Roots",SMALL-$8-14,Budget ($3-15),"1g, 4''",Common native grass,../image_archive/320x240/EPS/EPS_IMG12664.JPG,https://www.wildflower.org/plants/result.php?id_plant=ARPU9
Artemisia frigida,"Prairie Sagewort, Prairie Sagebrush, Fringed Sage, Pasture Sage",Asteraceae (Aster Family),Perennial,Shrub/Herbaceous,Small,Yellow,Yes,"Jun , Jul , Aug",Y,"Open, high plains; alpine areas",Arid Grasslands & Plains,Low,Sun,High,High,"poor, dry, alkaline",RAINFALL ONLY,Heat Lovers,"Ground Cover, Pollinator Garden","Winter Feed (Elk, Deer), Native Bees, Birds",Mildly toxic (large amt),Mildly toxic (large amt),All parts (thujone),Not found (nursery); seed online,SEED-$3-5,Budget ($3-15),Seed only,Not common locally,../image_archive/320x240/EPS/EPS_IMG20908.JPG,https://www.wildflower.org/plants/result.php?id_plant=ARFR4
Artemisia ludoviciana,"Louisiana Artemisia, Louisiana Sage, White Sage, Prairie Sage, Silver Sage, White Sagebrush, Louisiana Wormwood, Silver Wormwood, Louisiana Sagewort, Gray Sagewort, Cudweed Sagewort, Mugwort Wormwood",Asteraceae (Aster Family),Perennial,Herb/Shrub,Medium,Yellow,Yes,"Jul , Aug , Sep , Oct",Y,"Dry slopes; canyons; open pine woods; dry prairies. Eastern populations more in uplands, western populations more in lowlands",Shrubland & Chaparral Species,Low,Sun,High,High,"dry, mesic, rocky, shallow, well-drained, sand, loam, clay, caliche",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Ground Cover, Border, Erosion Control, Pollinator Garden","Native Bees, Butterflies, Host to Some Moth Larvae",Mildly toxic (large amt),Mildly toxic,All parts,"Civano, Desert Survivors",SMALL-$6-14,Budget ($3-15),"1g, 5g","Usually seasonal, popular",../image_archive/320x240/PCD2427/PCD2427_IMG0023.JPG,https://www.wildflower.org/plants/result.php?id_plant=ARLU
Artemisia tridentata,"Big Sagebrush, Great Basin Sagebrush",Asteraceae (Aster Family),Perennial,Shrub,Large,Yellow,Yes,"Jun , Jul , Aug , Sep , Oct , Nov",Y,"Open, dry plains; hills; slopes",Medium Drought Tolerance Species,Medium,Sun,High,High,"dry, rocky, alkaline", WEEKLY WATERING,Heat Lovers,"Privacy Screen, Large Accent, Wildlife Habitat","Native Bees, Insects, Birds, Mammals (browse)",Mildly toxic,Mildly toxic,All parts,"Desert Survivors, Civano",SMALL-$12-28,Budget ($3-15),"1g, 5g","Occasional, ask nursery",../image_archive/320x240/EPS/EPS_IMG3232.JPG,https://www.wildflower.org/plants/result.php?id_plant=ARTR2
Asclepias asperula,"Antelope-horns, Antelope Horns, Antelope Horns Milkweed",Asclepiadaceae (Milkweed Family),Perennial,Herb,Small,"Yellow , Green",Yes,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct",Y,Rocky or sandy prairies; Blackland Prairie w to Rolling Plains and Edwards Plateau,Medium Drought Tolerance Species,Low,"Sun, Part Shade",Medium,Medium,"well-drained, sandy, gravelly, calcareous", WEEKLY WATERING,Heat Tolerant,"Pollinator Garden (Monarch/Bee), Meadow","Monarch/Queen Butterflies, Native Bees, Bumble Bees, Honey Bees, Aphid host",Toxic,Toxic,"All parts (cardiac glycosides, milky sap)","Civano (seasonal), online",SEED-$4 SMALL-$10,Budget ($3-15),"4'', 1g, seed",Seed often easier to source,../image_archive/320x240/ETL/ETL_IMG0490.JPG,https://www.wildflower.org/plants/result.php?id_plant=ASASC
Asclepias elata,"Nodding Milkweed, Tall Milkweed",Asclepiadaceae (Milkweed Family),Perennial,Herb,Medium,,Yes,,N,"Canyons, rocky stream beds, open woodlands, mts",Desert Plants,Low,Part Shade,Medium,Medium,"sandy loam, rocky, well-drained",RAINFALL ONLY,Heat Sensitive,"Pollinator Garden (Monarch), Meadow","Monarch Butterflies, Native Bees, Bumble Bees",As above,As above,As above,Not found,SEED-$4-5,Budget ($3-15),Seed only,Nursery trade very rare,../image_archive/320x240/CBR/CBR_IMG1171.JPG,https://www.wildflower.org/plants/result.php?id_plant=ASEL
Asclepias subulata,"Rush Milkweed, Desert Milkweed, Ajamete",Asclepiadaceae (Milkweed Family),Perennial,Herb/Shrub,Medium,"White , Yellow",No/Slight,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",Y,"Dry slopes, mesas, plains & desert washes to 3000 ft.",Transition Zone Species,Low,Sun,High,High,"dry, sandy, rocky, caliche",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Pollinator Garden, Drought Accent","Monarch/Striated Queen Butterflies, Native Bees, Bumble Bees, Honey Bees",As above,As above,As above,"Civano, Desert Survivors",SMALL-$8-14,Budget ($3-15),"1g, 4'', 5g",Available in spring/fall,../image_archive/320x240/BIBE/BIBE_IMG00584.JPG,https://www.wildflower.org/plants/result.php?id_plant=ASSU
Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",Asclepiadaceae (Milkweed Family),Perennial,Herb,Small,"Orange , Yellow",No,"May , Jun , Jul , Aug , Sep",N,"Grows in prairies, open woods, canyons, and hillsides throughout most of the state, common in eastern two thirds of Texas, uncommon in the Hill Country. Plant in well-drained sand, loam, clay, or limestone",Arid Grasslands & Plains,Low,Sun,Medium,High,"well-drained, sandy, drought-tolerant, alkaline",RAINFALL ONLY,Heat Lovers,"Pollinator Garden, Wildflower Area","Butterflies, Hummingbirds, Native Bees, Bumble Bees, Honey Bees",As above,As above,As above,Civano,SMALL-$12-15,Budget ($3-15),1g,"Limited supply, spring",../image_archive/320x240/EPS/EPS_IMG1423.JPG,https://www.wildflower.org/plants/result.php?id_plant=ASTU
Atriplex hymenelytra,"Desert Holly, Silver Holly",Chenopodiaceae (Goosefoot Family),Perennial,Shrub,Medium,Green,No,"Jan , Feb , Mar , Apr",Y,"Dry, sandy or stony sites",Desert Plants,Low,Sun,High,High,"dry, sandy, stony, saline, alkaline",RAINFALL ONLY,Heat Lovers,"Xeriscape Accent, Ground Cover, Erosion Control","Birds, Small Mammals, Insect Forage",Not toxic,Not toxic,None,Desert Survivors/Native Roots,SMALL-$8-14,Budget ($3-15),"1g, 4''","Available, but less common",../image_archive/320x240/A_C/A_C_IMG1660.JPG,https://www.wildflower.org/plants/result.php?id_plant=ATHY
Bahia absinthifolia,"Hairyseed Bahia, Hairy-seed False Goldfields, Bahia, Yerba Raton",Asteraceae (Aster Family),Perennial,Herb,Small,Yellow,No,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Y,Mesas; slopes,Desert Plants,Low,Sun,High,High,"shallow, caliche, sandy loam",RAINFALL ONLY,Heat Lovers,"Wildflower Area, Ground Cover","Native Bees, Butterflies, Pollinators",Not toxic,Not toxic*,None,Not found (nursery); seed online,SEED-$3-5,Budget ($3-15),Seed only,Restoration type,../image_archive/320x240/EPS/EPS_IMG11471.JPG,https://www.wildflower.org/plants/result.php?id_plant=BAAB
Baileya multiradiata,"Desert Marigold, Showy Desert Marigold, Paper Daisy, Desert Baileya",Asteraceae (Aster Family),Perennial/Annual,Herb,Small,Yellow,No,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Y,Flat desert areas,Grassland & Prairie Species,Low,"Sun, Part Shade",High,High,"sandy, gravelly, well-drained, caliche",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Wildflower Border, Pollinator Garden","Bees, Butterflies, Native Bees, Pollinators",Toxic,Toxic,All parts (sesquiterpene lactones),"Civano, Desert Museum Plant Sale",SEED-$5 SMALL-$10,Budget ($3-15),"4'', 1g, seed",Readily available as annual,../image_archive/320x240/ETL/ETL_IMG2449.JPG,https://www.wildflower.org/plants/result.php?id_plant=BAMU
Bouteloua curtipendula,"Sideoats Grama, Banderilla, Banderita, Navajita",Poaceae (Grass Family),Perennial,Grass/Grass-like,Medium,"Red , Orange , Yellow",No,"Jun , Jul , Aug , Sep , Oct , Nov",Y,Prairies; open brush; forest openings; rocky slopes,Grassland & Prairie Species,"Low, Medium","Sun, Part Shade",Medium,High,"medium-textured, well-drained, limestone, sand, loam, clay",DEEP WATERING EVERY 2-3 WEEKS,Heat Tolerant,"Lawn Alternative, Ground Cover, Erosion Control, Prairie Meadow","Birds, Butterflies, Green/Dotted Skipper Larvae, Native Bees, Forage",Not toxic,Not toxic,None,"Civano, Native Roots",SMALL-$8-12,Budget ($3-15),"4'', 1g, 5g",Regularly stocked,../image_archive/320x240/TLM/TLM_IMG00085.JPG,https://www.wildflower.org/plants/result.php?id_plant=BOCU
Bouteloua dactyloides,"Buffalograss, Buffalo Grass",Poaceae (Grass Family),Perennial,Grass/Grass-like,Small,Yellow,No,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",N,"Prairies, plains, meadows, pastures, savannas. A dominant grass in shortgrass prairie, understory in taller prairie",Grassland & Prairie Species,"Low, Medium",Sun,High,High,"well-drained, loam, clay, caliche, limestone, non-sandy",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Lawn Alternative (Buffalograss), Ground Cover","Birds, Butterflies, Green Skipper Larvae, Small Mammals",Not toxic,Not toxic,None,"Civano, Native Roots",SEED-$4 SMALL-$10,Budget ($3-15),"Seed, 4'', 1g","""Buffalo grass,"" turf flats as well",../image_archive/320x240/JAM6151/6151_IMG00007.JPG,https://www.wildflower.org/plants/result.php?id_plant=BODA2
Bouteloua eriopoda,Black Grama,Poaceae (Grass Family),Perennial,Grass/Grass-like,Small,Yellow,No,"Jun , Jul , Aug , Sep , Oct",Y,"Prairie, Plains, Meadows, Pastures, Savannas, Hillsides, Slopes",Grassland & Prairie Species,Low,Sun,High,High,"dry, rocky, sandy, clay-rich, calcareous",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Lawn Alternative, Ground Cover, Erosion Control","Birds, Small Mammals, Forage",Not toxic,Not toxic,None,Not found (nursery); specialty grass,SEED-$4-6,Budget ($3-15),Seed only,Container sales rare,../image_archive/320x240/SS500/SS500_IMG0217.JPG,https://www.wildflower.org/plants/result.php?id_plant=BOER4
Bouteloua gracilis,Blue Grama,Poaceae (Grass Family),Perennial,Grass/Grass-like,Small,Yellow,No,"Jul , Aug , Sep , Oct",Y,"Dry prairies; plains. A dominant grass in dry shortgrass prairies. An understory grass in moister, mixed prairies",Grassland & Prairie Species,"Low, Medium",Sun,Medium,High,"well-drained, low organic, gravelly, calcareous, granitic",DEEP WATERING EVERY 2-3 WEEKS,Heat Sensitive,"Lawn Alternative, Ground Cover, Erosion Control, Wildflower Meadow","Birds, Butterflies, Multiple Skipper Larvae, Small Mammals",Not toxic,Not toxic,None,"Civano, Native Roots",SMALL-$4-12,Budget ($3-15),"4'', 1g","Blue grama, regularly stocked",../image_archive/320x240/PCD0001/PCD0001_IMG0018.JPG,https://www.wildflower.org/plants/result.php?id_plant=BOGR2
Bouteloua hirsuta,Hairy Grama,Poaceae (Grass Family),Perennial,Grass/Grass-like,Small,Not Applicable,No,"Mar , Apr , May",Y,"Prairie, Plains, Meadows, Pastures, Savannas, Open woodlands, Roadsides, Fence rows",Shrubland & Chaparral Species,Low,"Sun, Part Shade",Medium,High,"shallow, sandy, rocky, caliche, limestone",DEEP WATERING EVERY 2-3 WEEKS,Heat Tolerant,"Prairie Ground Cover, Erosion Control","Butterflies, Orange Giant/Green Skipper Larvae, Native Bees, Birds",Not toxic,Not toxic,None,"Native Roots, Civano",SEED-$4 SMALL-$12,Budget ($3-15),"4'', 1g, seed",Seasonally available,../image_archive/320x240/LMP/LMP_IMG0542.JPG,https://www.wildflower.org/plants/result.php?id_plant=BOHI2
Bursera microphylla,"Elephant Tree, Elephant-tree",Burseraceae (Frankincense Family),Perennial,Shrub/Small Tree,Large–Extra Large,White,Yes,"Jun , Jul , Aug",Y,"Arid, rocky slopes to 2500 ft.",Desert Plants,Low,Sun,High,High,"dry, limestone, rocky",RAINFALL ONLY,Heat Lovers,"Specimen/Focal Point (Desert Icon), Large Accent","Birds, Desert Wildlife (Rodents, Deer), Pollinators",Not toxic,Not toxic (mild dermatitis possible),Sap (may cause dermatitis),"Civano, Desert Survivors",MEDIUM-$16-36,Moderate ($16-40),"1g, 5g",Small trees; limited availability,../image_archive/320x240/BIBE/BIBE_IMG10157.JPG,https://www.wildflower.org/plants/result.php?id_plant=BUMI
Calliandra eriophylla,"Pink Fairyduster, Fairyduster, Mesquitilla, Mock Mesquite",Fabaceae (Pea Family),Perennial,Shrub,Small–Medium,"White , Pink",No,"Apr , May , Jun , Jul",Y,"Dry, gravelly slopes & mesas",Medium Drought Tolerance Species,Low,"Sun, Part Shade",High,High,"dry, gravelly, neutral, alkaline, sandy", WEEKLY WATERING,Heat Lovers,"Informal Hedge, Accent Shrub, Pollinator Garden","Birds, Hummingbirds, Bees, Butterflies",Not toxic,Not toxic,None,"Civano, Desert Survivors",SMALL-$8-14,Budget ($3-15),"1g, 5g",Common native shrub,../image_archive/320x240/EPS/EPS_IMG10133.JPG,https://www.wildflower.org/plants/result.php?id_plant=CAER
Calochortus ambiguus,"Arizona Mariposa Lily, Doubting Mariposa Lily, Arizona Mariposa Tulip",Liliaceae (Lily Family),Perennial,Herb,Small,"Pink , Purple",No,"May , Jun , Jul , Aug",Y,Unknown,Medium Drought Tolerance Species,Low,Sun,Medium,Medium,"dry, rocky, slopes, sandy, loamy, well-drained", WEEKLY WATERING,Heat Tolerant,"Wildflower Border, Rock Garden","Native Bees, Pollinators",Not toxic,Not toxic*,None,Not found (nursery); seed only,SEED-$4-7,Budget ($3-15),"Bulb, seed",Wildflower event source only,../image_archive/320x240/EPS/EPS_IMG13886.JPG,https://www.wildflower.org/plants/result.php?id_plant=CAAM4
Calochortus kennedyi,"Desert Mariposa Lily, Desert Mariposa, Red Mariposa-lily, Flame Mariposa",Liliaceae (Lily Family),Perennial,Herb,Small,Orange,No,"Mar , Apr , May",Y,Open or brushy flats; rocky slopes; deserts; 2000-4500 ft.,Desert Plants,Low,Sun,Medium,Medium,"dry, heavy, rocky, well-drained, caliche",RAINFALL ONLY,Heat Tolerant,"Rock Garden, Wildflower Display","Native Bees, Bumble Bees",Not toxic,Not toxic*,None,Not found (nursery); seed only,SEED-$4-8,Budget ($3-15),"Bulb, seed",Wildflower event source only,../image_archive/320x240/EPS/EPS_IMG17465.JPG,https://www.wildflower.org/plants/result.php?id_plant=CAKE
Calycoseris wrightii,White Tackstem,Asteraceae (Aster Family),Annual,Herb,Small,White,No,"Mar , Apr , May , Jun",Y,Unknown,Riparian & Moist Site Species,Low,Sun,High,High,"sandy, gravelly, well-drained", WEEKLY WATERING,Heat Lovers,"Wildflower Area, Pollinator Patch","Native Bees, Butterflies",Not toxic,Not toxic,None,Not found (nursery); seed only,SEED-$4,Budget ($3-15),Seed only,Annual wildflower,../image_archive/320x240/EPS/EPS_IMG17500.JPG,https://www.wildflower.org/plants/result.php?id_plant=CAWR
